Symb,CP,Change,Sector
SLVP,$9.34 ,-0.74%,Consumer Goods
ICLN,$10.52 ,0.19%,Energy
ICOL,$13.22 ,-0.08%,International
UAE,$13.34 ,0.30%,International
IAU,$13.48 ,-1.03%,Consumer Goods
SLV,$14.32 ,-0.42%,Consumer Goods
IPFF,$15.05 ,0.47%,International
GSG,$15.88 ,1.34%,International
EWZS,$16.58 ,0.12%,International
HEWW,$16.86 ,0.18%,International
HEWI,$17.20 ,-0.17%,International
QAT,$17.85 ,0.45,International
EUFN,$17.99 ,0.62%,International
EWK,$18.04 ,-0.33%,International
EWO,$19.66 ,1.08%,International
FILL,$20.22 ,1.15%,Energy
RING,$20.36 ,-0.24%,Consumer Goods
IEZ,$21.34 ,2.15%,Energy
HEWP,$21.82 ,-0.05%,International
EWA,$22.44 ,0.40%,International
IVLU,$22.80 ,0.09%,Finance
TUR,$23.41 ,0.09%,International
EPOL,$23.52 ,0.60%,International
IEFN,$23.57 ,-0.17%,Finance
IDRV,$23.74 ,0.98%,Technology
EWJV,$24.19 ,-0.33%,International
HEWU,$24.34 ,0.12%,International
IRBO,$24.35 ,0.95%,Technology
EWS,$24.40 ,0.62%,International
IGBH,$24.43 ,0.16%,Bond
IBCE,$24.45 ,-0.16%,Bond
ENOR,$24.48 ,0.87%,International
IBCD,$24.59 ,-0.04%,Bond
IBDK,$24.86 ,0.04%,Bond
IBDR,$24.89 ,-0.32%,Bond
IBDM,$24.91 ,-0.04%,Bond
EMBH,$24.93 ,0.61%,International
IYLD,$24.97 ,0.00%,Finance
IEIH,$25.08 ,-1.18%,Health
IBHA,$25.10 ,-0.04%,Finance
IHAK,$25.12 ,-0.12%,Technology
IBHC,$25.14 ,0.00%,Bond
IBHB,$25.15 ,0.08%,Bond
BYLD,$25.18 ,-0.12%,Bond
IBDN,$25.19 ,-0.08%,Bond
IBDS,$25.27 ,-0.55%,Bond
IBHE,$25.27 ,-0.04%,Bond
SUSB,$25.31 ,-0.12%,Bond
IBDL,$25.33 ,0.00%,Bond
IBDO,$25.34 ,-0.31%,Bond
BDP,$25.35 ,-0.31%,Bond
IBHD,$25.36 ,0.04%,Bond
IBMH,$25.44 ,0.00%,Bond
HEEM,$25.44 ,0.91%,International
EUMV,$25.45 ,-0.47%,International
IBDQ,$25.48 ,-0.31%,Bond
IBMI,$25.56 ,0.08%,Bond
EIDO,$25.61 ,0.04%,International
IBMO,$25.62 ,0.00%,Bond
HEWY,$25.64 ,0.83%,International
IBMP,$25.65 ,-0.08%,Bond
SUSC,$25.68 ,-0.12%,Bond
IBML,$25.70 ,0.04%,Bond
EWH,$25.73 ,0.63%,International
GOVT,$25.74 ,-0.27%,Bond
LQDI,$25.74 ,-1.11%,Bond
IBMQ,$25.75 ,-0.04%,Bond
IBMJ,$25.78 ,0.04%,Bond
